127.0.0.1 - - [12/Dec/2019:11:54:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/js/jquery.collapsible.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.countTo.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.barfiller.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/circle-progress.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.countdown.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/style.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/custom.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.collapsible.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/swiper.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.countdown.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/circle-progress.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.countTo.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/images/footer-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/images/elements-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/images/emergency-call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/jquery.barfiller.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:00 +0530] "GET /BBMS/includes/js/custom.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/direct_donor_login.jsp HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:02 +0530] "GET /BBMS/authentication/images/logo12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:03 +0530] "GET /BBMS/authentication/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:03 +0530] "GET /BBMS/authentication/fonts/source-sans-pro/SourceSansPro-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:03 +0530] "GET /BBMS/authentication/fonts/source-sans-pro/SourceSansPro-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:03 +0530] "GET /BBMS/authentication/fonts/source-sans-pro/SourceSansPro-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:08 +0530] "GET /BBMS/Designs/https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css HTTP/1.1" 404 1209
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:08 +0530] "GET /BBMS/includes/js/jquery.countdown.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/adminlogin.jsp HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:10 +0530] "GET /BBMS/login/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/animsition/js/animsition.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/bootstrap/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/daterangepicker/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/vendor/countdowntime/countdowntime.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/AdminLoginValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/images/logo6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/fonts/source-sans-pro/SourceSansPro-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/fonts/source-sans-pro/SourceSansPro-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:11 +0530] "GET /BBMS/login/fonts/source-sans-pro/SourceSansPro-SemiBold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:57:19 +0530] "GET /BBMS/Designs/index.jsp HTTP/1.1" 200 14949
